Exploitation,Automatability,Value,Utility,TechnicalImpact,SafetyImpact,PublicSafetyImpact,Outcome
none,slow,diffuse,laborious,partial,none/minor,minimal,defer
none,slow,diffuse,laborious,partial,major,significant,scheduled
none,slow,diffuse,laborious,partial,hazardous,significant,scheduled
none,slow,diffuse,laborious,partial,catastrophic,significant,scheduled
none,slow,diffuse,laborious,total,none/minor,minimal,defer
none,slow,diffuse,laborious,total,major,significant,scheduled
none,slow,diffuse,laborious,total,hazardous,significant,scheduled
none,slow,diffuse,laborious,total,catastrophic,significant,out-of-cycle
none,slow,concentrated,efficient,partial,none/minor,minimal,defer
none,rapid,diffuse,efficient,partial,none/minor,minimal,defer
none,slow,concentrated,efficient,partial,none/minor,minimal,scheduled
none,rapid,diffuse,efficient,partial,none/minor,minimal,scheduled
none,slow,concentrated,efficient,partial,major,significant,scheduled
none,rapid,diffuse,efficient,partial,major,significant,scheduled
none,slow,concentrated,efficient,partial,hazardous,significant,scheduled
none,rapid,diffuse,efficient,partial,hazardous,significant,scheduled
none,slow,concentrated,efficient,partial,catastrophic,significant,out-of-cycle
none,rapid,diffuse,efficient,partial,catastrophic,significant,out-of-cycle
none,slow,concentrated,efficient,total,none/minor,minimal,scheduled
none,rapid,diffuse,efficient,total,none/minor,minimal,scheduled
none,slow,concentrated,efficient,total,major,significant,scheduled
none,rapid,diffuse,efficient,total,major,significant,scheduled
none,slow,concentrated,efficient,total,hazardous,significant,out-of-cycle
none,rapid,diffuse,efficient,total,hazardous,significant,out-of-cycle
none,slow,concentrated,efficient,total,catastrophic,significant,out-of-cycle
none,rapid,diffuse,efficient,total,catastrophic,significant,out-of-cycle
none,rapid,concentrated,super effective,partial,none/minor,minimal,scheduled
none,rapid,concentrated,super effective,partial,major,significant,scheduled
none,rapid,concentrated,super effective,partial,hazardous,significant,out-of-cycle
none,rapid,concentrated,super effective,partial,catastrophic,significant,out-of-cycle
none,rapid,concentrated,super effective,total,none/minor,minimal,scheduled
none,rapid,concentrated,super effective,total,major,significant,scheduled
none,rapid,concentrated,super effective,total,hazardous,significant,out-of-cycle
none,rapid,concentrated,super effective,total,catastrophic,significant,out-of-cycle
poc,slow,diffuse,laborious,partial,none/minor,minimal,scheduled
poc,slow,diffuse,laborious,partial,major,significant,out-of-cycle
poc,slow,diffuse,laborious,partial,hazardous,significant,out-of-cycle
poc,slow,diffuse,laborious,partial,catastrophic,significant,out-of-cycle
poc,slow,diffuse,laborious,total,none/minor,minimal,scheduled
poc,slow,diffuse,laborious,total,major,significant,out-of-cycle
poc,slow,diffuse,laborious,total,hazardous,significant,out-of-cycle
poc,slow,diffuse,laborious,total,catastrophic,significant,immediate
poc,slow,concentrated,efficient,partial,none/minor,minimal,scheduled
poc,rapid,diffuse,efficient,partial,none/minor,minimal,scheduled
poc,slow,concentrated,efficient,partial,major,significant,out-of-cycle
poc,rapid,diffuse,efficient,partial,major,significant,out-of-cycle
poc,slow,concentrated,efficient,partial,hazardous,significant,immediate
poc,rapid,diffuse,efficient,partial,hazardous,significant,immediate
poc,slow,concentrated,efficient,partial,catastrophic,significant,immediate
poc,rapid,diffuse,efficient,partial,catastrophic,significant,immediate
poc,slow,concentrated,efficient,total,none/minor,minimal,scheduled
poc,rapid,diffuse,efficient,total,none/minor,minimal,scheduled
poc,slow,concentrated,efficient,total,none/minor,minimal,out-of-cycle
poc,rapid,diffuse,efficient,total,none/minor,minimal,out-of-cycle
poc,slow,concentrated,efficient,total,major,significant,out-of-cycle
poc,rapid,diffuse,efficient,total,major,significant,out-of-cycle
poc,slow,concentrated,efficient,total,hazardous,significant,immediate
poc,rapid,diffuse,efficient,total,hazardous,significant,immediate
poc,slow,concentrated,efficient,total,catastrophic,significant,immediate
poc,rapid,diffuse,efficient,total,catastrophic,significant,immediate
poc,rapid,concentrated,super effective,partial,none/minor,minimal,scheduled
poc,rapid,concentrated,super effective,partial,none/minor,minimal,out-of-cycle
poc,rapid,concentrated,super effective,partial,major,significant,out-of-cycle
poc,rapid,concentrated,super effective,partial,hazardous,significant,immediate
poc,rapid,concentrated,super effective,partial,catastrophic,significant,immediate
poc,rapid,concentrated,super effective,total,none/minor,minimal,out-of-cycle
poc,rapid,concentrated,super effective,total,major,significant,out-of-cycle
poc,rapid,concentrated,super effective,total,hazardous,significant,immediate
poc,rapid,concentrated,super effective,total,catastrophic,significant,immediate
active,slow,diffuse,laborious,partial,none/minor,minimal,scheduled
active,slow,diffuse,laborious,partial,none/minor,minimal,out-of-cycle
active,slow,diffuse,laborious,partial,major,significant,out-of-cycle
active,slow,diffuse,laborious,partial,hazardous,significant,immediate
active,slow,diffuse,laborious,partial,catastrophic,significant,immediate
active,slow,diffuse,laborious,total,none/minor,minimal,out-of-cycle
active,slow,diffuse,laborious,total,major,significant,out-of-cycle
active,slow,diffuse,laborious,total,hazardous,significant,immediate
active,slow,diffuse,laborious,total,catastrophic,significant,immediate
active,slow,concentrated,efficient,partial,none/minor,minimal,out-of-cycle
active,rapid,diffuse,efficient,partial,none/minor,minimal,out-of-cycle
active,slow,concentrated,efficient,partial,major,significant,immediate
active,rapid,diffuse,efficient,partial,major,significant,immediate
active,slow,concentrated,efficient,partial,hazardous,significant,immediate
active,rapid,diffuse,efficient,partial,hazardous,significant,immediate
active,slow,concentrated,efficient,partial,catastrophic,significant,immediate
active,rapid,diffuse,efficient,partial,catastrophic,significant,immediate
active,slow,concentrated,efficient,total,none/minor,minimal,out-of-cycle
active,rapid,diffuse,efficient,total,none/minor,minimal,out-of-cycle
active,slow,concentrated,efficient,total,major,significant,immediate
active,rapid,diffuse,efficient,total,major,significant,immediate
active,slow,concentrated,efficient,total,hazardous,significant,immediate
active,rapid,diffuse,efficient,total,hazardous,significant,immediate
active,slow,concentrated,efficient,total,catastrophic,significant,immediate
active,rapid,diffuse,efficient,total,catastrophic,significant,immediate
active,rapid,concentrated,super effective,partial,none/minor,minimal,out-of-cycle
active,rapid,concentrated,super effective,partial,none/minor,minimal,immediate
active,rapid,concentrated,super effective,partial,major,significant,immediate
active,rapid,concentrated,super effective,partial,hazardous,significant,immediate
active,rapid,concentrated,super effective,partial,catastrophic,significant,immediate
active,rapid,concentrated,super effective,total,none/minor,minimal,immediate
active,rapid,concentrated,super effective,total,major,significant,immediate
active,rapid,concentrated,super effective,total,hazardous,significant,immediate
active,rapid,concentrated,super effective,total,catastrophic,significant,immediate
